Date,Product_ID,Store_ID,Daily_Sales,Promotion,Item_A_Quantity,Item_B_Quantity,Item_C_Quantity,Item_A_Price,Item_B_Price,Item_C_Price,Item_A_Sales,Item_B_Sales,Item_C_Sales,Random_Product_Sum,Total_Sum_All_Items
2/19/2022,P001,S01,23,1,0,59,118,47.16,28.18,38.16,0,1662.62,4502.88,211,6165.5
2/20/2022,P001,S01,31,0,0,68,130,29.92,43.05,53.59,0,2927.4,6966.7,233,9894.1
2/21/2022,P001,S01,28,1,0,7,42,18.75,21.52,33.55,0,150.64,1409.1,84,1559.74
2/22/2022,P001,S01,27,1,0,105,30,22.86,25.95,41.02,0,2724.75,1230.6,172,3955.35
2/23/2022,P001,S01,33,0,0,55,79,25.12,55.71,9.35,0,3064.05,738.65,161,3802.7
2/24/2022,P001,S01,34,0,1,11,121,32.03,23.11,26.47,32.03,254.21,3202.87,174,3489.11
2/25/2022,P001,S01,34,0,0,25,13,28.21,32.44,11.7,0,811,152.1,50,963.1
2/26/2022,P001,S01,27,1,1,77,103,46.37,54.29,36.03,46.37,4180.33,3711.09,192,7937.79
2/27/2022,P001,S01,29,1,0,43,84,27.36,44.8,51.99,0,1926.4,4367.16,169,6293.56
2/28/2022,P001,S01,32,1,0,22,71,49.65,11.23,38.43,0,247.06,2728.53,121,2975.59
3/1/2022,P001,S01,34,0,0,8,103,43.31,15.66,9.76,0,125.28,1005.28,137,1130.56
3/2/2022,P001,S01,29,1,0,93,104,14.38,8.41,23.38,0,782.13,2431.52,239,3213.65
3/3/2022,P001,S01,30,0,1,64,64,46.88,40.81,32.98,46.88,2611.84,2110.72,150,4769.44
3/4/2022,P001,S01,26,0,0,18,146,10.24,31.28,25.76,0,563.04,3760.96,176,4324
3/5/2022,P001,S01,26,0,0,118,140,41.79,14.98,46.85,0,1767.64,6559,293,8326.64
3/6/2022,P001,S01,34,0,0,13,40,22.13,57.81,45.92,0,751.53,1836.8,97,2588.33
3/7/2022,P001,S01,36,0,0,94,49,44.51,35.54,35.98,0,3340.76,1763.02,160,5103.78
3/8/2022,P001,S01,31,0,0,57,45,44.06,20.58,24.3,0,1173.06,1093.5,147,2266.56
3/9/2022,P001,S01,35,0,0,6,15,41.27,34.03,18.51,0,204.18,277.65,37,481.83
3/10/2022,P001,S01,32,0,0,88,75,40.55,43.34,11.19,0,3813.92,839.25,208,4653.17
3/11/2022,P001,S01,28,0,0,96,84,18.71,11.96,23.39,0,1148.16,1964.76,205,3112.92
3/12/2022,P001,S01,33,0,0,115,13,8.64,22.28,26.25,0,2562.2,341.25,161,2903.45
3/13/2022,P001,S01,37,0,0,64,88,23.13,49.96,39.12,0,3197.44,3442.56,162,6640
3/14/2022,P001,S01,31,0,0,75,143,12.81,31.9,38.25,0,2392.5,5469.75,252,7862.25
3/15/2022,P001,S01,37,0,0,48,127,36.27,36.42,9.44,0,1748.16,1198.88,194,2947.04
3/16/2022,P001,S01,21,0,0,12,122,20.57,30.51,25.37,0,366.12,3095.14,159,3461.26
3/17/2022,P001,S01,35,0,0,51,103,48.9,10.28,14.91,0,524.28,1535.73,179,2060.01
3/18/2022,P001,S01,32,0,0,39,71,33.84,16.62,13.68,0,648.18,971.28,127,1619.46
3/19/2022,P001,S01,30,0,0,82,88,42.01,31.17,46.54,0,2555.94,4095.52,208,6651.46
3/20/2022,P001,S01,32,0,0,85,145,10.96,18.88,8.05,0,1604.8,1167.25,278,2772.05
3/21/2022,P001,S01,23,1,0,40,35,43.79,10.6,26.54,0,424,928.9,112,1352.9
3/22/2022,P001,S01,31,0,0,54,53,46.52,51.87,14.24,0,2800.98,754.72,122,3555.7
3/23/2022,P001,S01,33,0,0,108,142,26.92,59.02,49.09,0,6374.16,6970.78,275,13344.94
3/24/2022,P001,S01,37,0,0,8,79,32.28,49.24,33.29,0,393.92,2629.91,116,3023.83
3/25/2022,P001,S01,29,0,0,6,127,39.42,52.4,17.34,0,314.4,2202.18,158,2516.58
3/26/2022,P001,S01,28,0,0,10,77,12.87,20.58,30.62,0,205.8,2357.74,103,2563.54
3/27/2022,P001,S01,29,0,0,58,28,27.62,57.95,41.84,0,3361.1,1171.52,109,4532.62
3/28/2022,P001,S01,35,0,0,110,29,22.94,18.24,52.95,0,2006.4,1535.55,174,3541.95
3/29/2022,P001,S01,33,0,0,8,122,11.59,57.47,16.8,0,459.76,2049.6,165,2509.36
3/30/2022,P001,S01,29,0,0,58,149,21.54,59.73,49.42,0,3464.34,7363.58,230,10827.92
3/31/2022,P001,S01,34,1,0,97,56,8.07,45.01,51.78,0,4365.97,2899.68,169,7265.65
4/1/2022,P001,S01,32,1,0,67,10,6.16,59.02,50.9,0,3954.34,509,119,4463.34
4/2/2022,P001,S01,35,1,0,22,99,11.08,37.62,37.14,0,827.64,3676.86,156,4504.5
4/3/2022,P001,S01,29,1,0,94,73,48.34,21.5,36.86,0,2021,2690.78,196,4711.78
4/4/2022,P001,S01,30,0,0,48,47,29.73,30.72,25.76,0,1474.56,1210.72,107,2685.28
4/5/2022,P001,S01,30,0,0,38,46,48.46,38.87,42.87,0,1477.06,1972.02,97,3449.08
4/6/2022,P001,S01,26,0,0,78,135,24.46,11.8,32.03,0,920.4,4324.05,248,5244.45
4/7/2022,P001,S01,33,0,0,66,148,19.03,40.36,39.19,0,2663.76,5800.12,234,8463.88
4/8/2022,P001,S01,32,1,0,104,109,27.78,59.02,26.99,0,6138.08,2941.91,224,9079.99
4/9/2022,P001,S01,31,0,0,18,86,24.78,17.89,41.84,0,322.02,3598.24,127,3920.26
4/10/2022,P001,S01,30,1,0,99,12,9.75,49.21,46.4,0,4871.79,556.8,150,5428.59
4/11/2022,P001,S01,26,0,0,52,143,33.84,55.21,13.18,0,2870.92,1884.74,216,4755.66
4/12/2022,P001,S01,30,1,0,19,19,14.72,57.07,46.81,0,1084.33,889.39,73,1973.72
4/13/2022,P001,S01,30,0,0,76,14,32.88,57.93,32.47,0,4402.68,454.58,132,4857.26
4/14/2022,P001,S01,28,0,0,82,147,34.26,35.12,47.39,0,2879.84,6966.33,251,9846.17
4/15/2022,P001,S01,31,0,0,91,139,11.84,58.82,27.13,0,5352.62,3771.07,253,9123.69
4/16/2022,P001,S01,33,0,0,66,22,7.76,47.38,24.57,0,3127.08,540.54,121,3667.62
4/17/2022,P001,S01,39,0,0,44,139,40.13,16.41,50.84,0,722.04,7066.76,226,7788.8
4/18/2022,P001,S01,32,0,0,89,93,25.69,32.8,18.31,0,2919.2,1702.83,217,4622.03
4/19/2022,P001,S01,32,1,1,84,74,7.62,45.35,47.37,7.62,3809.4,3505.38,189,7322.4
4/20/2022,P001,S01,31,0,0,113,72,49.77,20.86,29.72,0,2357.18,2139.84,222,4497.02
4/21/2022,P001,S01,23,0,1,86,110,7.6,41.31,31.19,7.6,3552.66,3430.9,242,6991.16
4/22/2022,P001,S01,31,0,0,115,82,36.28,42.66,21.11,0,4905.9,1731.02,246,6636.92
4/23/2022,P001,S01,31,1,0,57,26,49.27,16.46,34.08,0,938.22,886.08,94,1824.3
4/24/2022,P001,S01,41,0,0,28,18,15.76,37.38,21.94,0,1046.64,394.92,64,1441.56
4/25/2022,P001,S01,30,0,0,30,47,11.4,48.12,7.92,0,1443.6,372.24,109,1815.84
4/26/2022,P001,S01,32,0,0,93,103,10.46,33.94,19.33,0,3156.42,1990.99,220,5147.41
4/27/2022,P001,S01,31,0,0,64,104,18.65,8.63,6.31,0,552.32,656.24,190,1208.56
4/28/2022,P001,S01,26,0,0,113,58,9.55,8.47,53.94,0,957.11,3128.52,203,4085.63
4/29/2022,P001,S01,35,0,0,45,78,36.15,26.57,53.32,0,1195.65,4158.96,149,5354.61
4/30/2022,P001,S01,34,0,0,33,71,7.8,56.16,25.36,0,1853.28,1800.56,115,3653.84
5/1/2022,P001,S01,34,1,0,19,87,27.92,19.89,41.69,0,377.91,3627.03,135,4004.94
5/2/2022,P001,S01,27,0,1,49,126,49.85,40.99,22.94,49.85,2008.51,2890.44,205,4948.8
5/3/2022,P001,S01,36,0,0,69,129,41.63,19.55,38.88,0,1348.95,5015.52,210,6364.47
5/4/2022,P001,S01,25,0,1,93,146,32.68,24.73,45.47,32.68,2299.89,6638.62,261,8971.19
5/5/2022,P001,S01,33,1,0,75,85,18.78,52.1,52.39,0,3907.5,4453.15,209,8360.65
5/6/2022,P001,S01,39,0,0,13,44,33.08,45.9,25.61,0,596.7,1126.84,68,1723.54
5/7/2022,P001,S01,26,1,0,92,10,28.72,12.96,44.38,0,1192.32,443.8,147,1636.12
5/8/2022,P001,S01,28,0,0,5,49,24.17,30.29,19.03,0,151.45,932.47,77,1083.92
5/9/2022,P001,S01,30,0,0,112,73,10.88,9.52,54.53,0,1066.24,3980.69,210,5046.93
5/10/2022,P001,S01,28,0,0,12,69,44.9,33.01,7.26,0,396.12,500.94,109,897.06
5/11/2022,P001,S01,24,1,0,92,73,25.24,42.45,35.57,0,3905.4,2596.61,208,6502.01
5/12/2022,P001,S01,30,0,1,67,102,13.76,14.16,38.32,13.76,948.72,3908.64,185,4871.12
5/13/2022,P001,S01,26,1,0,15,81,21.55,23.02,39.71,0,345.3,3216.51,118,3561.81
5/14/2022,P001,S01,32,1,0,119,20,23.64,28.69,11.9,0,3414.11,238,184,3652.11
5/15/2022,P001,S01,26,0,0,85,114,42.24,55.82,51.99,0,4744.7,5926.86,230,10671.56
5/16/2022,P001,S01,36,0,0,12,23,38.01,59.65,14.88,0,715.8,342.24,62,1058.04
5/17/2022,P001,S01,26,0,0,39,69,39.62,10.34,36.51,0,403.26,2519.19,129,2922.45
5/18/2022,P001,S01,28,0,0,39,39,5.5,47.57,16.91,0,1855.23,659.49,117,2514.72
5/19/2022,P001,S01,33,1,0,37,44,23.73,27.33,21.05,0,1011.21,926.2,130,1937.41
5/20/2022,P001,S01,24,1,0,9,14,26.66,28.41,32.78,0,255.69,458.92,39,714.61
5/21/2022,P001,S01,30,0,0,110,92,5.86,47.22,26.44,0,5194.2,2432.48,243,7626.68
5/22/2022,P001,S01,34,0,0,107,132,16.69,55.76,13.85,0,5966.32,1828.2,267,7794.52
5/23/2022,P001,S01,22,1,0,45,87,39.21,57.45,14.38,0,2585.25,1251.06,147,3836.31
5/24/2022,P001,S01,30,0,0,32,71,11.17,38.01,26.49,0,1216.32,1880.79,132,3097.11
5/25/2022,P001,S01,30,1,0,11,141,29.09,26.57,43.11,0,292.27,6078.51,188,6370.78
5/26/2022,P001,S01,32,0,0,77,98,14.68,48.95,50,0,3769.15,4900,221,8669.15
5/27/2022,P001,S01,24,0,0,76,51,5.55,21.05,10.12,0,1599.8,516.12,143,2115.92
5/28/2022,P001,S01,23,0,0,16,98,15.85,37.33,25.26,0,597.28,2475.48,128,3072.76
5/29/2022,P001,S01,30,0,0,38,49,48.91,26.65,10.91,0,1012.7,534.59,107,1547.29
5/30/2022,P001,S01,29,0,0,37,81,41.07,42.14,6.81,0,1559.18,551.61,142,2110.79
5/31/2022,P001,S01,29,0,0,52,48,48.18,20.5,38.42,0,1066,1844.16,112,2910.16
6/1/2022,P001,S01,29,0,0,27,113,26.95,17.96,35.52,0,484.92,4013.76,154,4498.68
6/2/2022,P001,S01,25,1,0,66,23,9.94,55.75,13.99,0,3679.5,321.77,121,4001.27
6/3/2022,P001,S01,29,1,0,92,41,29.66,13.29,17.46,0,1222.68,715.86,179,1938.54
6/4/2022,P001,S01,29,0,0,41,134,25.45,34.31,7.16,0,1406.71,959.44,193,2366.15
6/5/2022,P001,S01,25,0,0,103,106,43,19.48,46.91,0,2006.44,4972.46,233,6978.9
6/6/2022,P001,S01,35,0,0,48,32,9.41,10.02,53.76,0,480.96,1720.32,92,2201.28
6/7/2022,P001,S01,29,0,0,108,72,26.97,9.87,12.64,0,1065.96,910.08,218,1976.04
6/8/2022,P001,S01,22,0,0,90,62,11.75,17.11,17.34,0,1539.9,1075.08,167,2614.98
6/9/2022,P001,S01,30,0,0,95,113,19.61,53.07,48.55,0,5041.65,5486.15,234,10527.8
6/10/2022,P001,S01,23,0,0,39,113,38.18,22.69,51.4,0,884.91,5808.2,187,6693.11
6/11/2022,P001,S01,30,0,0,69,48,26.42,57.42,26.56,0,3961.98,1274.88,147,5236.86
6/12/2022,P001,S01,31,0,0,103,143,21.91,38.24,8.48,0,3938.72,1212.64,263,5151.36
6/13/2022,P001,S01,23,0,0,105,76,22.75,30.7,7.93,0,3223.5,602.68,211,3826.18
6/14/2022,P001,S01,30,1,0,51,144,25.68,38.16,34.12,0,1946.16,4913.28,215,6859.44
6/15/2022,P001,S01,28,0,0,82,51,40.33,34.87,25.25,0,2859.34,1287.75,180,4147.09
6/16/2022,P001,S01,30,0,0,7,24,45.14,47.46,7.4,0,332.22,177.6,48,509.82
6/17/2022,P001,S01,34,0,0,5,120,47.99,22.69,34.58,0,113.45,4149.6,158,4263.05
6/18/2022,P001,S01,25,0,0,9,42,40.41,26.36,6.55,0,237.24,275.1,95,512.34
6/19/2022,P001,S01,23,1,0,94,47,19.19,54.49,44.58,0,5122.06,2095.26,164,7217.32
6/20/2022,P001,S01,22,0,0,18,106,35.97,57.22,21.02,0,1029.96,2228.12,147,3258.08
6/21/2022,P001,S01,22,1,0,107,42,24.69,54.41,7.97,0,5821.87,334.74,168,6156.61
6/22/2022,P001,S01,25,0,0,31,95,16.46,29.81,34.83,0,924.11,3308.85,147,4232.96
6/23/2022,P001,S01,27,0,0,13,75,42.84,48.58,25.49,0,631.54,1911.75,135,2543.29
6/24/2022,P001,S01,27,1,0,83,19,6.73,32.77,53.72,0,2719.91,1020.68,145,3740.59
6/25/2022,P001,S01,29,0,0,19,14,45.58,33.87,32.67,0,643.53,457.38,52,1100.91
6/26/2022,P001,S01,25,0,0,94,132,25.77,18.64,19.49,0,1752.16,2572.68,252,4324.84
6/27/2022,P001,S01,31,0,0,46,83,33.67,38.74,40.76,0,1782.04,3383.08,155,5165.12
6/28/2022,P001,S01,24,0,0,81,106,34.67,17.68,19.3,0,1432.08,2045.8,199,3477.88
6/29/2022,P001,S01,36,1,1,55,127,45.28,25.24,50.31,45.28,1388.2,6389.37,223,7822.85
6/30/2022,P001,S01,27,0,0,67,47,33.65,52.46,24.36,0,3514.82,1144.92,124,4659.74
7/1/2022,P001,S01,21,0,0,100,56,32.63,18.77,32.94,0,1877,1844.64,177,3721.64
7/2/2022,P001,S01,20,0,0,107,118,8,11.7,8.48,0,1251.9,1000.64,273,2252.54
7/3/2022,P001,S01,26,0,0,117,24,28.33,11.59,26.88,0,1356.03,645.12,154,2001.15
7/4/2022,P001,S01,23,0,0,56,145,11.76,56.92,46.79,0,3187.52,6784.55,223,9972.07
7/5/2022,P001,S01,27,0,0,100,14,38.18,34.36,45.48,0,3436,636.72,157,4072.72
7/6/2022,P001,S01,26,0,1,8,56,28.05,29.29,16.99,28.05,234.32,951.44,95,1213.81
7/7/2022,P001,S01,24,1,0,98,77,35.61,50.17,17.08,0,4916.66,1315.16,206,6231.82
7/8/2022,P001,S01,20,0,0,105,85,6.88,51.46,46.05,0,5403.3,3914.25,203,9317.55
7/9/2022,P001,S01,18,0,0,27,139,8.82,25.27,51.59,0,682.29,7171.01,193,7853.3
7/10/2022,P001,S01,22,1,0,107,104,37.23,44.07,10.67,0,4715.49,1109.68,225,5825.17
7/11/2022,P001,S01,27,0,0,113,124,8.24,48.1,28.05,0,5435.3,3478.2,265,8913.5
7/12/2022,P001,S01,24,0,0,19,45,8.21,42.04,22.54,0,798.76,1014.3,75,1813.06
7/13/2022,P001,S01,18,0,0,47,35,5.54,15.88,48.66,0,746.36,1703.1,103,2449.46
7/14/2022,P001,S01,24,0,0,33,52,48.04,53.55,10.09,0,1767.15,524.68,111,2291.83
7/15/2022,P001,S01,24,0,0,40,36,38.19,36.03,16.35,0,1441.2,588.6,95,2029.8
7/16/2022,P001,S01,19,1,0,17,78,20.9,22.69,42.87,0,385.73,3343.86,138,3729.59
7/17/2022,P001,S01,23,0,0,36,20,18.34,30.11,8.51,0,1083.96,170.2,71,1254.16
7/18/2022,P001,S01,23,0,0,75,83,20.74,9.95,30.13,0,746.25,2500.79,175,3247.04
7/19/2022,P001,S01,18,1,0,63,113,39.86,14.65,27.66,0,922.95,3125.58,196,4048.53
7/20/2022,P001,S01,24,0,0,119,47,34.76,47.81,22.39,0,5689.39,1052.33,187,6741.72
7/21/2022,P001,S01,24,0,0,90,143,13.33,8,25.33,0,720,3622.19,251,4342.19
7/22/2022,P001,S01,26,0,1,32,32,12.83,29.66,31.97,12.83,949.12,1023.04,76,1984.99
7/23/2022,P001,S01,26,1,0,70,56,9.43,35.17,13.91,0,2461.9,778.96,143,3240.86
7/24/2022,P001,S01,16,0,0,46,99,34.71,10.84,34.03,0,498.64,3368.97,165,3867.61
7/25/2022,P001,S01,18,0,0,49,55,39.4,58.6,45.47,0,2871.4,2500.85,149,5372.25
7/26/2022,P001,S01,24,0,0,66,116,16.93,19.76,43.25,0,1304.16,5017,201,6321.16
7/27/2022,P001,S01,24,0,0,61,149,5.94,23.82,13.54,0,1453.02,2017.46,240,3470.48
7/28/2022,P001,S01,23,0,0,10,113,8.7,23.81,13.31,0,238.1,1504.03,152,1742.13
7/29/2022,P001,S01,37,0,0,32,120,48.55,19.98,19.14,0,639.36,2296.8,169,2936.16
7/30/2022,P001,S01,23,1,0,32,113,18.3,8.08,23.69,0,258.56,2676.97,190,2935.53
7/31/2022,P001,S01,26,0,0,112,69,39.62,45.93,26.01,0,5144.16,1794.69,219,6938.85
8/1/2022,P001,S01,25,0,0,48,109,33.11,58.28,39.31,0,2797.44,4284.79,178,7082.23
8/2/2022,P001,S01,23,1,0,88,77,22.19,19.66,8.78,0,1730.08,676.06,188,2406.14
8/3/2022,P001,S01,20,1,0,34,142,14.26,42.48,7.7,0,1444.32,1093.4,206,2537.72
8/4/2022,P001,S01,24,0,0,66,129,10.46,46.58,25.2,0,3074.28,3250.8,226,6325.08
8/5/2022,P001,S01,17,0,0,79,46,32.68,52.12,40.16,0,4117.48,1847.36,155,5964.84
8/6/2022,P001,S01,20,0,0,96,81,39.86,29.98,15.48,0,2878.08,1253.88,216,4131.96
8/7/2022,P001,S01,18,1,1,93,136,33.98,23.75,37.43,33.98,2208.75,5090.48,278,7333.21
8/8/2022,P001,S01,21,1,1,107,115,28.86,24.92,18.73,28.86,2666.44,2153.95,252,4849.25
8/9/2022,P001,S01,29,0,0,66,101,6.89,45.06,49.42,0,2973.96,4991.42,200,7965.38
8/10/2022,P001,S01,13,1,1,101,40,48.58,50.47,49.89,48.58,5097.47,1995.6,174,7141.65
8/11/2022,P001,S01,23,0,0,5,131,40.94,17.44,20.57,0,87.2,2694.67,152,2781.87
8/12/2022,P001,S01,13,0,1,31,146,18.18,27.29,17.27,18.18,845.99,2521.42,196,3385.59
8/13/2022,P001,S01,18,0,0,66,60,49.1,54.9,26.15,0,3623.4,1569,136,5192.4
8/14/2022,P001,S01,24,1,0,81,38,32.08,49.95,17.79,0,4045.95,676.02,154,4721.97
8/15/2022,P001,S01,20,0,0,109,49,31.21,59.21,38.95,0,6453.89,1908.55,205,8362.44
8/16/2022,P001,S01,15,1,0,7,50,38.66,47.22,46.48,0,330.54,2324,104,2654.54
8/17/2022,P001,S01,17,1,0,107,20,41.53,28.45,38.98,0,3044.15,779.6,158,3823.75
8/18/2022,P001,S01,22,1,0,74,10,34.54,38.71,46.39,0,2864.54,463.9,103,3328.44
8/19/2022,P001,S01,16,0,0,76,55,10.76,42.37,25.45,0,3220.12,1399.75,146,4619.87
8/20/2022,P001,S01,20,0,0,31,110,20.22,12.08,13.66,0,374.48,1502.6,167,1877.08
8/21/2022,P001,S01,19,0,0,13,99,46.76,36.31,42.16,0,472.03,4173.84,159,4645.87
8/22/2022,P001,S01,16,0,0,66,119,15.11,44.88,23.66,0,2962.08,2815.54,218,5777.62
8/23/2022,P001,S01,28,0,0,41,66,21.75,16.7,38.89,0,684.7,2566.74,126,3251.44
8/24/2022,P001,S01,21,1,0,101,10,24.44,48.59,19.26,0,4907.59,192.6,128,5100.19
8/25/2022,P001,S01,11,0,0,55,72,24.77,38.36,9.98,0,2109.8,718.56,157,2828.36
8/26/2022,P001,S01,20,0,0,110,64,32.58,57.52,54.64,0,6327.2,3496.96,189,9824.16
8/27/2022,P001,S01,16,0,0,48,124,47.44,10.21,13.65,0,490.08,1692.6,202,2182.68
8/28/2022,P001,S01,22,0,1,28,62,15.83,21.8,54.43,15.83,610.4,3374.66,139,4000.89
8/29/2022,P001,S01,15,0,0,83,146,10.47,39.28,53.89,0,3260.24,7867.94,262,11128.18
8/30/2022,P001,S01,18,0,0,63,66,13.89,23.42,44.9,0,1475.46,2963.4,171,4438.86
8/31/2022,P001,S01,20,1,0,36,126,44.91,45.15,38.31,0,1625.4,4827.06,189,6452.46
9/1/2022,P001,S01,22,0,0,100,44,34.06,47.47,34.31,0,4747,1509.64,181,6256.64
9/2/2022,P001,S01,14,1,0,92,72,17.87,13.33,48.44,0,1226.36,3487.68,205,4714.04
9/3/2022,P001,S01,17,1,0,109,34,41.72,34.72,20.18,0,3784.48,686.12,164,4470.6
9/4/2022,P001,S01,16,0,0,56,99,43.76,34.46,28.92,0,1929.76,2863.08,191,4792.84
9/5/2022,P001,S01,16,1,0,117,84,43.09,27.2,36.35,0,3182.4,3053.4,220,6235.8
9/6/2022,P001,S01,25,0,0,66,47,46.35,56.51,26.15,0,3729.66,1229.05,154,4958.71
9/7/2022,P001,S01,20,1,0,117,139,16.35,51.03,26.95,0,5970.51,3746.05,291,9716.56
9/8/2022,P001,S01,13,0,1,62,144,38.98,44.25,22.18,38.98,2743.5,3193.92,241,5976.4
9/9/2022,P001,S01,22,1,0,56,100,25.72,45.14,33.65,0,2527.84,3365,176,5892.84
9/10/2022,P001,S01,26,1,0,16,26,42.89,32.01,47.68,0,512.16,1239.68,74,1751.84
9/11/2022,P001,S01,22,1,0,43,137,37.78,55.89,15.87,0,2403.27,2174.19,223,4577.46
9/12/2022,P001,S01,12,1,0,6,117,39.94,44.12,51.79,0,264.72,6059.43,172,6324.15
9/13/2022,P001,S01,16,0,0,7,34,34.53,45.91,39.77,0,321.37,1352.18,73,1673.55
9/14/2022,P001,S01,23,0,0,117,97,12.98,52.81,46.34,0,6178.77,4494.98,252,10673.75
